"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"3802","349","1400000US06037113101","Census Tract 1131.01, Los Angeles County, California"
"2894","261","1400000US06037113102","Census Tract 1131.02, Los Angeles County, California"
"4010","341","1400000US06037113211","Census Tract 1132.11, Los Angeles County, California"
"3474","406","1400000US06037113212","Census Tract 1132.12, Los Angeles County, California"
"4738","360","1400000US06037113213","Census Tract 1132.13, Los Angeles County, California"
"2106","172","1400000US06037113231","Census Tract 1132.31, Los Angeles County, California"
"3787","403","1400000US06037113232","Census Tract 1132.32, Los Angeles County, California"
"6795","736","1400000US06037113233","Census Tract 1132.33, Los Angeles County, California"
"4751","422","1400000US06037113234","Census Tract 1132.34, Los Angeles County, California"
"1579","206","1400000US06037113235","Census Tract 1132.35, Los Angeles County, California"
"3398","201","1400000US06037113237","Census Tract 1132.37, Los Angeles County, California"
"2268","301","1400000US06037113301","Census Tract 1133.01, Los Angeles County, California"
"4487","333","1400000US06037113303","Census Tract 1133.03, Los Angeles County, California"
"5715","459","1400000US06037113321","Census Tract 1133.21, Los Angeles County, California"
"3970","323","1400000US06037113322","Census Tract 1133.22, Los Angeles County, California"
"5222","525","1400000US06037113401","Census Tract 1134.01, Los Angeles County, California"
"6388","635","1400000US06037113421","Census Tract 1134.21, Los Angeles County, California"
"6760","708","1400000US06037113422","Census Tract 1134.22, Los Angeles County, California"
"5062","272","1400000US06037115101","Census Tract 1151.01, Los Angeles County, California"
"941","192","1400000US06037115103","Census Tract 1151.03, Los Angeles County, California"
"3621","385","1400000US06037115104","Census Tract 1151.04, Los Angeles County, California"
"6960","627","1400000US06037115201","Census Tract 1152.01, Los Angeles County, California"
"5051","417","1400000US06037115202","Census Tract 1152.02, Los Angeles County, California"
"4176","428","1400000US06037115301","Census Tract 1153.01, Los Angeles County, California"
"4106","450","1400000US06037115302","Census Tract 1153.02, Los Angeles County, California"
"5517","523","1400000US06037115401","Census Tract 1154.01, Los Angeles County, California"
"3259","378","1400000US06037115403","Census Tract 1154.03, Los Angeles County, California"
"3010","383","1400000US06037115404","Census Tract 1154.04, Los Angeles County, California"
"4653","382","1400000US06037117101","Census Tract 1171.01, Los Angeles County, California"
"2821","356","1400000US06037117102","Census Tract 1171.02, Los Angeles County, California"
"4537","474","1400000US06037117201","Census Tract 1172.01, Los Angeles County, California"
"2489","188","1400000US06037117202","Census Tract 1172.02, Los Angeles County, California"
"3824","455","1400000US06037117301","Census Tract 1173.01, Los Angeles County, California"
"5147","339","1400000US06037117302","Census Tract 1173.02, Los Angeles County, California"
"3652","452","1400000US06037117303","Census Tract 1173.03, Los Angeles County, California"
"4338","368","1400000US06037117404","Census Tract 1174.04, Los Angeles County, California"
"3797","466","1400000US06037117405","Census Tract 1174.05, Los Angeles County, California"
"3198","410","1400000US06037117407","Census Tract 1174.07, Los Angeles County, California"
"3052","388","1400000US06037117408","Census Tract 1174.08, Los Angeles County, California"
"3919","381","1400000US06037117510","Census Tract 1175.10, Los Angeles County, California"
"3696","459","1400000US06037117520","Census Tract 1175.20, Los Angeles County, California"
"5598","574","1400000US06037117530","Census Tract 1175.30, Los Angeles County, California"
"3882","317","1400000US06037119001","Census Tract 1190.01, Los Angeles County, California"
"7032","790","1400000US06037119002","Census Tract 1190.02, Los Angeles County, California"
"4214","306","1400000US06037119201","Census Tract 1192.01, Los Angeles County, California"
"4425","704","1400000US06037119202","Census Tract 1192.02, Los Angeles County, California"
"3820","426","1400000US06037119310","Census Tract 1193.10, Los Angeles County, California"
"4259","420","1400000US06037119320","Census Tract 1193.20, Los Angeles County, California"
"4228","375","1400000US06037119340","Census Tract 1193.40, Los Angeles County, California"
"2650","270","1400000US06037119341","Census Tract 1193.41, Los Angeles County, California"
"3572","450","1400000US06037119342","Census Tract 1193.42, Los Angeles County, California"
"5368","439","1400000US06037119400","Census Tract 1194, Los Angeles County, California"
"4081","422","1400000US06037119700","Census Tract 1197, Los Angeles County, California"
"5388","648","1400000US06037119800","Census Tract 1198, Los Angeles County, California"
"4739","372","1400000US06037119900","Census Tract 1199, Los Angeles County, California"
"2697","257","1400000US06037120010","Census Tract 1200.10, Los Angeles County, California"
"5051","517","1400000US06037120020","Census Tract 1200.20, Los Angeles County, California"
"3158","397","1400000US06037120030","Census Tract 1200.30, Los Angeles County, California"
"3513","497","1400000US06037120103","Census Tract 1201.03, Los Angeles County, California"
"2637","281","1400000US06037120104","Census Tract 1201.04, Los Angeles County, California"
"2679","399","1400000US06037120105","Census Tract 1201.05, Los Angeles County, California"
"4572","461","1400000US06037120106","Census Tract 1201.06, Los Angeles County, California"
"3591","487","1400000US06037120107","Census Tract 1201.07, Los Angeles County, California"
"4353","507","1400000US06037120108","Census Tract 1201.08, Los Angeles County, California"
"5853","516","1400000US06037120300","Census Tract 1203, Los Angeles County, California"
"6793","468","1400000US06037120400","Census Tract 1204, Los Angeles County, California"
"4946","309","1400000US06037121010","Census Tract 1210.10, Los Angeles County, California"
"3391","321","1400000US06037121020","Census Tract 1210.20, Los Angeles County, California"
"2989","434","1400000US06037121101","Census Tract 1211.01, Los Angeles County, California"
